state,Denominator,prevalence_per_1000,lower_ci,upper_ci,Prevalence Range,Show Lower and Upper CI,year,data_set
Alaska,123001.0,1.8,1.6,2.0,<10,Yes,2001,Special Education Child Count
Alaska,122904.0,2.0,1.8,2.3,<10,Yes,2002,Special Education Child Count
Alaska,122575.0,2.3,2.0,2.6,<10,Yes,2003,Special Education Child Count
Alaska,121340.0,2.8,2.5,3.1,<10,Yes,2004,Special Education Child Count
Alaska,121440.0,3.0,2.7,3.4,<10,Yes,2005,Special Education Child Count
Alaska,120981.0,3.5,3.2,3.9,<10,Yes,2006,Special Education Child Count
Alaska,119725.0,3.9,3.6,4.3,<10,Yes,2007,Special Education Child Count
Alaska,119013.0,4.5,4.1,4.9,<10,Yes,2008,Special Education Child Count
Alaska,119382.0,5.0,4.6,5.4,<10,Yes,2009,Special Education Child Count
Alaska,118994.0,5.6,5.2,6.1,<10,Yes,2010,Special Education Child Count
Alaska,117959.0,6.3,5.9,6.8,<10,Yes,2011,Special Education Child Count
Alaska,117789.0,7.1,6.7,7.6,<10,Yes,2012,Special Education Child Count
Alaska,117065.0,7.8,7.3,8.3,<10,Yes,2013,Special Education Child Count
Alaska,117543.0,8.5,8.0,9.1,<10,Yes,2014,Special Education Child Count
Alaska,118699.0,9.4,8.8,9.9,<10,Yes,2015,Special Education Child Count
Alaska,119217.0,10.1,9.5,10.7,10 to <20,Yes,2016,Special Education Child Count
Alaska,119090.0,10.6,10.1,11.2,10 to <20,Yes,2017,Special Education Child Count
Alaska,117443.0,11.3,10.7,11.9,10 to <20,Yes,2018,Special Education Child Count
Alaska,117985.0,11.9,11.3,12.6,10 to <20,Yes,2019,Special Education Child Count
Alaska,116990.0,12.7,12.0,13.3,10 to <20,Yes,2020,Special Education Child Count
Alaska,117240.0,13.4,12.8,14.1,10 to <20,Yes,2021,Special Education Child Count
Alaska,117973.0,14.2,13.5,14.9,10 to <20,Yes,2022,Special Education Child Count
Arizona,45322.0,6.5,5.8,7.3,<10,Yes,2000,ADDM Network*
Arizona,45113.0,6.2,5.5,7.0,<10,Yes,2002,ADDM Network*
Arizona,13620.0,9.8,8.2,11.6,<10,Yes,2004,ADDM Network*
Arizona,41650.0,12.1,11.1,13.2,10 to <20,Yes,2006,ADDM Network*
Arizona,32601.0,15.6,14.3,17.0,10 to <20,Yes,2008,ADDM Network*
Arizona,33768.0,15.7,14.4,17.1,10 to <20,Yes,2010,ADDM Network*
Arizona,32615.0,15.1,13.9,16.5,10 to <20,Yes,2012,ADDM Network*
Arizona,24952.0,14.0,12.6,15.5,10 to <20,Yes,2014,ADDM Network*
Arizona,17656.0,16.0,14.2,17.9,10 to <20,Yes,2016,ADDM Network*
Arizona,13313.0,24.9,22.4,27.6,20 to <30,Yes,2018,ADDM Network*
Arizona,13118.0,27.4,24.8,30.4,20 to <30,Yes,2020,ADDM Network*
Arizona,6709.0,31.3,27.4,35.7,30+,Yes,2022,ADDM Network*
Arizona,274759.0,3.3,3.1,3.5,<10,Yes,2000,Medicaid
Arizona,312970.0,3.7,3.5,3.9,<10,Yes,2001,Medicaid
Arizona,373705.0,3.9,3.8,4.2,<10,Yes,2002,Medicaid
Arizona,432277.0,4.0,3.9,4.2,<10,Yes,2003,Medicaid
Arizona,458585.0,4.3,4.1,4.5,<10,Yes,2004,Medicaid
Arizona,475755.0,4.9,4.7,5.1,<10,Yes,2005,Medicaid
Arizona,472700.0,7.8,7.5,8.0,<10,Yes,2006,Medicaid
Arizona,479757.0,8.6,8.3,8.9,<10,Yes,2007,Medicaid
Arizona,510208.0,9.0,8.7,9.3,<10,Yes,2008,Medicaid
Arizona,576963.0,9.5,9.3,9.8,<10,Yes,2009,Medicaid
Arizona,526254.0,11.3,11.0,11.6,10 to <20,Yes,2010,Medicaid
Arizona,580628.0,11.9,11.6,12.2,10 to <20,Yes,2011,Medicaid
Arizona,616380.0,12.5,12.3,12.8,10 to <20,Yes,2012,Medicaid
Arizona,613027.0,13.9,13.7,14.2,10 to <20,Yes,2013,Medicaid
Arizona,721405.0,15.4,15.1,15.7,10 to <20,Yes,2016,Medicaid
Arizona,722361.0,17.0,16.7,17.3,10 to <20,Yes,2017,Medicaid
Arizona,709026.0,19.2,18.9,19.5,10 to <20,Yes,2018,Medicaid
Arizona,702750.0,21.0,20.6,21.3,20 to <30,Yes,2019,Medicaid
Arizona,695871.0,22.0,21.7,22.4,20 to <30,Yes,2020,Medicaid
Arizona,738541.0,22.2,21.9,22.6,20 to <30,Yes,2021,Medicaid
Arizona,772617.0,24.4,24.0,24.7,20 to <30,Yes,2022,Medicaid
Arizona,1573.0,19.3,11.8,31.5,10 to <20,Yes,2011,National Survey of Children's Health†
Arizona,2912.0,31.5,23.7,41.7,30+,Yes,2020,National Survey of Children's Health†
Arizona,1416.0,43.2,29.5,62.8,30+,Yes,2022,National Survey of Children's Health†
Arizona,804559.0,1.3,1.2,1.4,<10,Yes,2000,Special Education Child Count
Arizona,835126.0,1.5,1.4,1.6,<10,Yes,2001,Special Education Child Count
Arizona,853801.0,1.9,1.8,2.0,<10,Yes,2002,Special Education Child Count
Arizona,920714.0,2.2,2.1,2.3,<10,Yes,2003,Special Education Child Count
Arizona,948234.0,2.6,2.5,2.7,<10,Yes,2004,Special Education Child Count
Arizona,1000752.0,3.1,3.0,3.2,<10,Yes,2005,Special Education Child Count
Arizona,967743.0,3.9,3.8,4.0,<10,Yes,2006,Special Education Child Count
Arizona,984666.0,4.4,4.3,4.6,<10,Yes,2007,Special Education Child Count
Arizona,983587.0,5.1,4.9,5.2,<10,Yes,2008,Special Education Child Count
Arizona,984294.0,6.0,5.8,6.1,<10,Yes,2009,Special Education Child Count
Arizona,980187.0,6.8,6.7,7.0,<10,Yes,2010,Special Education Child Count
Arizona,986805.0,7.6,7.4,7.7,<10,Yes,2011,Special Education Child Count
Arizona,993616.0,8.2,8.0,8.4,<10,Yes,2012,Special Education Child Count
Arizona,1007136.0,8.8,8.6,9.0,<10,Yes,2013,Special Education Child Count
Arizona,1019375.0,9.3,9.1,9.5,<10,Yes,2014,Special Education Child Count
Arizona,1019034.0,9.8,9.6,10.0,<10,Yes,2015,Special Education Child Count
Arizona,1033143.0,10.4,10.2,10.6,10 to <20,Yes,2016,Special Education Child Count
Arizona,1016873.0,11.4,11.2,11.6,10 to <20,Yes,2017,Special Education Child Count
Arizona,1039606.0,12.2,12.0,12.4,10 to <20,Yes,2018,Special Education Child Count
Arizona,1048882.0,12.9,12.7,13.1,10 to <20,Yes,2019,Special Education Child Count
Arizona,1024499.0,14.1,13.9,14.3,10 to <20,Yes,2020,Special Education Child Count
Arizona,1036815.0,14.7,14.4,14.9,10 to <20,Yes,2021,Special Education Child Count
Arizona,1036574.0,16.0,15.8,16.3,10 to <20,Yes,2022,Special Education Child Count
Arkansas,36472.0,6.9,6.1,7.8,<10,Yes,2002,ADDM Network*
Arkansas,4940.0,10.5,8.0,13.8,10 to <20,Yes,2008,ADDM Network*
Arkansas,38956.0,15.5,14.3,16.8,10 to <20,Yes,2010,ADDM Network*
Arkansas,14153.0,8.8,7.4,10.5,<10,Yes,2012,ADDM Network*
Arkansas,39992.0,13.1,12.0,14.2,10 to <20,Yes,2014,ADDM Network*
Arkansas,40225.0,15.1,13.9,16.3,10 to <20,Yes,2016,ADDM Network*
Arkansas,15435.0,22.9,20.6,25.3,20 to <30,Yes,2018,ADDM Network*
Arkansas,15432.0,23.5,21.2,26.0,20 to <30,Yes,2020,ADDM Network*
Arkansas,15319.0,29.8,27.3,32.6,20 to <30,Yes,2022,ADDM Network*
Arkansas,185692.0,5.3,5.0,5.7,<10,Yes,2000,Medicaid
Arkansas,218750.0,5.1,4.8,5.4,<10,Yes,2001,Medicaid
Arkansas,249902.0,5.0,4.7,5.3,<10,Yes,2002,Medicaid
Arkansas,271969.0,4.7,4.4,4.9,<10,Yes,2003,Medicaid
Arkansas,292778.0,4.5,4.3,4.8,<10,Yes,2004,Medicaid
Arkansas,317561.0,4.5,4.2,4.7,<10,Yes,2005,Medicaid
Arkansas,332135.0,4.9,4.7,5.2,<10,Yes,2006,Medicaid
Arkansas,330340.0,5.4,5.1,5.6,<10,Yes,2007,Medicaid
Arkansas,328146.0,6.0,5.8,6.3,<10,Yes,2008,Medicaid
Arkansas,332878.0,6.4,6.1,6.6,<10,Yes,2009,Medicaid
Arkansas,345509.0,6.5,6.2,6.8,<10,Yes,2010,Medicaid
Arkansas,350947.0,7.0,6.7,7.3,<10,Yes,2011,Medicaid
Arkansas,355606.0,7.4,7.1,7.7,<10,Yes,2012,Medicaid
Arkansas,360224.0,7.7,7.5,8.0,<10,Yes,2013,Medicaid
Arkansas,383755.0,1.9,1.7,2.0,<10,Yes,2016,Medicaid
Arkansas,373010.0,8.6,8.3,8.9,<10,Yes,2017,Medicaid
Arkansas,373390.0,10.4,10.1,10.7,10 to <20,Yes,2018,Medicaid
Arkansas,370648.0,11.6,11.2,11.9,10 to <20,Yes,2019,Medicaid
Arkansas,364789.0,12.1,11.8,12.5,10 to <20,Yes,2020,Medicaid
Arkansas,380979.0,13.8,13.4,14.1,10 to <20,Yes,2021,Medicaid
Arkansas,395357.0,15.3,14.9,15.7,10 to <20,Yes,2022,Medicaid
Arkansas,1613.0,22.7,15.5,33.1,20 to <30,Yes,2011,National Survey of Children's Health†
Arkansas,2875.0,23.6,17.6,31.4,20 to <30,Yes,2020,National Survey of Children's Health†
Arkansas,1439.0,34.1,24.0,48.4,30+,Yes,2022,National Survey of Children's Health†
Arkansas,412602.0,1.6,1.5,1.7,<10,Yes,2000,Special Education Child Count
Arkansas,411655.0,1.8,1.7,2.0,<10,Yes,2001,Special Education Child Count
Arkansas,412287.0,2.2,2.0,2.3,<10,Yes,2002,Special Education Child Count
Arkansas,414546.0,2.4,2.3,2.6,<10,Yes,2003,Special Education Child Count
Arkansas,417497.0,2.8,2.6,2.9,<10,Yes,2004,Special Education Child Count
Arkansas,425018.0,3.1,3.0,3.3,<10,Yes,2005,Special Education Child Count
Arkansas,426896.0,3.6,3.4,3.8,<10,Yes,2006,Special Education Child Count
Arkansas,427439.0,4.1,3.9,4.3,<10,Yes,2007,Special Education Child Count
Arkansas,427149.0,4.7,4.5,4.9,<10,Yes,2008,Special Education Child Count
Arkansas,428469.0,5.2,5.0,5.5,<10,Yes,2009,Special Education Child Count
Arkansas,429836.0,5.8,5.6,6.1,<10,Yes,2010,Special Education Child Count
Arkansas,430885.0,6.6,6.3,6.8,<10,Yes,2011,Special Education Child Count
Arkansas,431069.0,7.2,7.0,7.5,<10,Yes,2012,Special Education Child Count
Arkansas,434806.0,7.8,7.5,8.0,<10,Yes,2013,Special Education Child Count
Arkansas,437275.0,8.3,8.0,8.6,<10,Yes,2014,Special Education Child Count
Arkansas,438292.0,8.9,8.7,9.2,<10,Yes,2015,Special Education Child Count
Arkansas,440130.0,9.5,9.3,9.8,<10,Yes,2016,Special Education Child Count
Arkansas,442030.0,10.2,9.9,10.5,10 to <20,Yes,2017,Special Education Child Count
Arkansas,441545.0,10.8,10.5,11.2,10 to <20,Yes,2018,Special Education Child Count
Arkansas,442386.0,11.7,11.4,12.0,10 to <20,Yes,2019,Special Education Child Count
Arkansas,437877.0,12.5,12.1,12.8,10 to <20,Yes,2020,Special Education Child Count
Arkansas,436989.0,13.5,13.1,13.8,10 to <20,Yes,2021,Special Education Child Count
Arkansas,440709.0,14.6,14.2,14.9,10 to <20,Yes,2022,Special Education Child Count
California,15076.0,38.9,35.9,42.1,30+,Yes,2018,ADDM Network*
California,15828.0,44.9,41.7,48.2,30+,Yes,2020,ADDM Network*
California,15212.0,53.1,49.6,56.7,30+,Yes,2022,ADDM Network*
California,2406609.0,1.0,1.0,1.1,<10,Yes,2000,Medicaid
California,2471781.0,1.2,1.2,1.3,<10,Yes,2001,Medicaid
California,2695067.0,1.4,1.4,1.4,<10,Yes,2002,Medicaid
California,2831003.0,1.6,1.6,1.7,<10,Yes,2003,Medicaid
California,2870079.0,1.9,1.8,1.9,<10,Yes,2004,Medicaid
California,2832737.0,2.5,2.4,2.6,<10,Yes,2005,Medicaid
California,2799720.0,3.0,2.9,3.1,<10,Yes,2006,Medicaid
California,2767175.0,3.6,3.5,3.7,<10,Yes,2007,Medicaid
California,2816838.0,4.3,4.2,4.3,<10,Yes,2008,Medicaid
California,2960114.0,4.4,4.4,4.5,<10,Yes,2009,Medicaid
California,3086090.0,4.7,4.6,4.8,<10,Yes,2010,Medicaid
California,3279839.0,4.9,4.8,4.9,<10,Yes,2011,Medicaid
California,3358697.0,6.8,6.7,6.9,<10,Yes,2012,Medicaid
California,4014996.0,6.8,6.7,6.9,<10,Yes,2013,Medicaid
California,4490115.0,7.6,7.6,7.7,<10,Yes,2016,Medicaid
California,4393862.0,9.7,9.6,9.8,<10,Yes,2017,Medicaid
California,4297261.0,13.8,13.7,13.9,10 to <20,Yes,2018,Medicaid
California,4194913.0,15.7,15.6,15.8,10 to <20,Yes,2019,Medicaid
California,4054840.0,14.2,14.1,14.4,10 to <20,Yes,2020,Medicaid
California,4178853.0,15.5,15.4,15.7,10 to <20,Yes,2021,Medicaid
California,4284136.0,17.5,17.4,17.7,10 to <20,Yes,2022,Medicaid
California,1595.0,19.6,11.3,33.7,10 to <20,Yes,2011,National Survey of Children's Health†
California,2886.0,32.1,22.5,45.5,30+,Yes,2020,National Survey of Children's Health†
California,4860.0,29.8,21.8,40.6,20 to <30,Yes,2022,National Survey of Children's Health†
California,5512592.0,1.8,1.8,1.8,<10,Yes,2000,Special Education Child Count
California,5617138.0,2.2,2.2,2.3,<10,Yes,2001,Special Education Child Count
California,5724081.0,2.7,2.6,2.7,<10,Yes,2002,Special Education Child Count
California,5784387.0,3.1,3.1,3.2,<10,Yes,2003,Special Education Child Count
California,5812940.0,3.7,3.7,3.8,<10,Yes,2004,Special Education Child Count
California,5801532.0,4.4,4.3,4.4,<10,Yes,2005,Special Education Child Count
California,5824922.0,5.1,5.0,5.1,<10,Yes,2006,Special Education Child Count
California,5813550.0,5.9,5.8,6.0,<10,Yes,2007,Special Education Child Count
California,5783968.0,6.8,6.7,6.9,<10,Yes,2008,Special Education Child Count
California,5714230.0,7.8,7.7,7.9,<10,Yes,2009,Special Education Child Count
California,5743498.0,8.6,8.5,8.6,<10,Yes,2010,Special Education Child Count
California,5719777.0,9.5,9.4,9.6,<10,Yes,2011,Special Education Child Count
California,5728978.0,10.3,10.2,10.4,10 to <20,Yes,2012,Special Education Child Count
California,5723381.0,11.1,11.1,11.2,10 to <20,Yes,2013,Special Education Child Count
California,5717500.0,12.0,11.9,12.1,10 to <20,Yes,2014,Special Education Child Count
California,5689280.0,12.9,12.8,13.0,10 to <20,Yes,2015,Special Education Child Count
California,5685428.0,13.9,13.8,14.0,10 to <20,Yes,2016,Special Education Child Count
California,5679408.0,14.9,14.8,15.0,10 to <20,Yes,2017,Special Education Child Count
California,5654612.0,15.9,15.8,16.0,10 to <20,Yes,2018,Special Education Child Count
California,5639958.0,16.2,16.1,16.3,10 to <20,Yes,2019,Special Education Child Count
California,5540220.0,17.7,17.6,17.8,10 to <20,Yes,2020,Special Education Child Count
California,5422146.0,20.4,20.3,20.5,20 to <30,Yes,2021,Special Education Child Count
California,5356136.0,22.9,22.8,23.1,20 to <30,Yes,2022,Special Education Child Count
Colorado,11020.0,5.9,4.6,7.5,<10,Yes,2002,ADDM Network*
Colorado,7184.0,7.5,5.8,9.8,<10,Yes,2006,ADDM Network*
Colorado,7725.0,11.8,9.6,14.4,10 to <20,Yes,2008,ADDM Network*
Colorado,38806.0,9.9,9.0,10.9,<10,Yes,2010,ADDM Network*
Colorado,40538.0,10.8,9.8,11.8,10 to <20,Yes,2012,ADDM Network*
Colorado,41128.0,13.9,12.8,15.1,10 to <20,Yes,2014,ADDM Network*
Colorado,40874.0,13.1,12.1,16.3,10 to <20,Yes,2016,ADDM Network*
Colorado,130820.0,1.9,1.7,2.2,<10,Yes,2000,Medicaid
Colorado,145270.0,1.8,1.6,2.0,<10,Yes,2001,Medicaid
Colorado,156929.0,2.0,1.8,2.2,<10,Yes,2002,Medicaid
Colorado,174653.0,2.3,2.1,2.6,<10,Yes,2003,Medicaid
Colorado,197589.0,2.5,2.3,2.7,<10,Yes,2004,Medicaid
Colorado,208987.0,2.8,2.6,3.0,<10,Yes,2005,Medicaid
Colorado,216781.0,3.6,3.3,3.8,<10,Yes,2006,Medicaid
Colorado,206913.0,4.8,4.5,5.1,<10,Yes,2007,Medicaid
Colorado,216481.0,5.4,5.1,5.7,<10,Yes,2008,Medicaid
Colorado,252259.0,5.5,5.2,5.8,<10,Yes,2009,Medicaid
Colorado,282212.0,5.7,5.5,6.0,<10,Yes,2010,Medicaid
Colorado,315401.0,5.1,4.9,5.4,<10,Yes,2011,Medicaid
Colorado,337541.0,4.4,4.2,4.6,<10,Yes,2012,Medicaid
Colorado,384963.0,5.0,4.7,5.2,<10,Yes,2013,Medicaid
Colorado,530353.0,8.5,8.3,8.8,<10,Yes,2016,Medicaid
Colorado,540923.0,9.8,9.5,10.1,<10,Yes,2017,Medicaid
Colorado,525012.0,12.5,12.2,12.8,10 to <20,Yes,2018,Medicaid
Colorado,509416.0,15.1,14.8,15.4,10 to <20,Yes,2019,Medicaid
Colorado,485050.0,16.8,16.4,17.2,10 to <20,Yes,2020,Medicaid
Colorado,521499.0,18.3,17.9,18.6,10 to <20,Yes,2021,Medicaid
Colorado,532873.0,21.3,20.9,21.7,20 to <30,Yes,2022,Medicaid
Colorado,3710.0,23.0,17.2,30.6,20 to <30,Yes,2020,National Survey of Children's Health†
Colorado,2865.0,28.4,20.9,38.3,20 to <30,Yes,2022,National Survey of Children's Health†
Colorado,658092.0,0.7,0.6,0.7,<10,Yes,2000,Special Education Child Count
Colorado,669550.0,0.8,0.7,0.8,<10,Yes,2001,Special Education Child Count
Colorado,677622.0,1.0,0.9,1.0,<10,Yes,2002,Special Education Child Count
Colorado,681787.0,1.2,1.1,1.3,<10,Yes,2003,Special Education Child Count
Colorado,687752.0,1.5,1.4,1.6,<10,Yes,2004,Special Education Child Count
Colorado,697217.0,1.8,1.7,1.9,<10,Yes,2005,Special Education Child Count
Colorado,708550.0,2.2,2.1,2.3,<10,Yes,2006,Special Education Child Count
Colorado,714642.0,2.6,2.5,2.7,<10,Yes,2007,Special Education Child Count
Colorado,726178.0,3.1,3.0,3.2,<10,Yes,2008,Special Education Child Count
Colorado,738477.0,3.6,3.5,3.8,<10,Yes,2009,Special Education Child Count
Colorado,747541.0,4.2,4.1,4.4,<10,Yes,2010,Special Education Child Count
Colorado,756813.0,4.9,4.7,5.0,<10,Yes,2011,Special Education Child Count
Colorado,766235.0,5.4,5.2,5.5,<10,Yes,2012,Special Education Child Count
Colorado,778033.0,5.7,5.6,5.9,<10,Yes,2013,Special Education Child Count
Colorado,791275.0,6.2,6.1,6.4,<10,Yes,2014,Special Education Child Count
Colorado,802257.0,6.8,6.6,7.0,<10,Yes,2015,Special Education Child Count
Colorado,808556.0,7.3,7.1,7.5,<10,Yes,2016,Special Education Child Count
Colorado,813658.0,7.9,7.8,8.1,<10,Yes,2017,Special Education Child Count
Colorado,814399.0,8.7,8.5,8.9,<10,Yes,2018,Special Education Child Count
Colorado,814698.0,9.5,9.3,9.7,<10,Yes,2019,Special Education Child Count
Colorado,798574.0,10.3,10.0,10.5,10 to <20,Yes,2020,Special Education Child Count
Colorado,788172.0,11.1,10.9,11.4,10 to <20,Yes,2021,Special Education Child Count
Colorado,779991.0,12.4,12.1,12.6,10 to <20,Yes,2022,Special Education Child Count
Connecticut,163068.0,0.5,0.4,0.6,<10,Yes,2000,Medicaid
Connecticut,170794.0,0.6,0.5,0.7,<10,Yes,2001,Medicaid
Connecticut,182671.0,0.6,0.5,0.8,<10,Yes,2002,Medicaid
Connecticut,189680.0,0.5,0.4,0.6,<10,Yes,2003,Medicaid
Connecticut,195864.0,0.5,0.4,0.6,<10,Yes,2004,Medicaid
Connecticut,198270.0,0.5,0.4,0.6,<10,Yes,2005,Medicaid
Connecticut,194389.0,2.4,2.2,2.6,<10,Yes,2006,Medicaid
Connecticut,192120.0,2.9,2.7,3.2,<10,Yes,2007,Medicaid
Connecticut,197279.0,3.6,3.3,3.9,<10,Yes,2008,Medicaid
Connecticut,209322.0,5.5,5.2,5.8,<10,Yes,2009,Medicaid
Connecticut,222605.0,6.6,6.3,7.0,<10,Yes,2010,Medicaid
Connecticut,231880.0,7.7,7.4,8.1,<10,Yes,2011,Medicaid
Connecticut,239389.0,8.9,8.6,9.3,<10,Yes,2012,Medicaid
Connecticut,245529.0,9.9,9.5,10.3,<10,Yes,2013,Medicaid
Connecticut,276337.0,13.5,13.0,13.9,10 to <20,Yes,2016,Medicaid
Connecticut,280822.0,14.4,14.0,14.9,10 to <20,Yes,2017,Medicaid
Connecticut,284755.0,16.3,15.8,16.7,10 to <20,Yes,2018,Medicaid
Connecticut,287751.0,18.2,17.7,18.6,10 to <20,Yes,2019,Medicaid
Connecticut,284244.0,18.9,18.4,19.4,10 to <20,Yes,2020,Medicaid
Connecticut,299775.0,19.8,19.3,20.3,10 to <20,Yes,2021,Medicaid
Connecticut,310187.0,22.0,21.5,22.6,20 to <30,Yes,2022,Medicaid
Connecticut,1604.0,11.9,7.2,19.7,10 to <20,Yes,2007,National Survey of Children's Health†
Connecticut,1660.0,12.5,7.4,21.1,10 to <20,Yes,2011,National Survey of Children's Health†
